"Title","Theme","Category","Publisher","PublicationYear","ISBN","CoverType","CopiesNo","PhotocopiesNo","Topic1","Topic2","Topic3","Author1","Author2","Author3","Author4"
"Biomedical Signal Processing Volume II Compression and Automatic Recognition","This book is intended to provide material of interest to engineers and scientists who wish to apply modern signal processing techniques to the analysis of biomedical signals.","book","CRC Press","1986","0849359341","hardbound","1","0","","","","","","",""
"Blind and Partially Sighted Adults in Britain: the RNIB Survey (Volume 1)","This report presents the findings of the first ever nationwide survey of blind and partially sighted people in Great Britain.","report","RNIB/HMSO Publications Centre","1991","0117014796","paperback","1","0","","","","Mckennell  Aubrey","Walker  Errol","",""
"Blind and Partially Sighted Children in Britain: The RNIB Survey (Volume 2)","This report presents the findings of the first ever nationwide survey of blind and partially sighted children in Great Britain.","report","RNIB/HMSO Publications Centre","1992","0117016268","paperback","1","0","","","","","","",""
"Blissymbols for Use","This book is designed to meet the needs of a wide range of people who are interested in blissymbols, and is divided into three sections: Findind Symbols, Finding Meanings and an Index.","book","Blissymbolics Communication Institute","1980","0969051611","spiral","0","2","","","","","","",""
"Broadband Islands (A Report from the RACE Workshop)","This report contains a selection of papers presented at the Broadband Islands Workshop held in Dublin on June 20, 1990.","report","Commission of the European Communities","1991","","paperback","1","0","","","","","","",""
"Building Adaptive Interfaces with Neural Networks: the Glove-Talk Pilot Study","Technical Report CRC-TR-90-1 February 1990","report","Department of Computer Science","1990","","spiral","1","0","Networks","","","","","",""
"Classifications and Indices to DELTA Returned Questionnaires, Version 1.3. Update, ΔΕΛΤΑ","It includes DELTA returned Questionnaires, Version 1.3 Update","report","Commission of the European Communities","1988","","paperback","1","0","","","","","","",""
"Cognizers - Neural Networks and Manchines that Think","The book discusses the history, hard science and research behind machines that Think, and reveals how this technology could be the breakthrough that makes synthetic intelligence a reality.","book","John Wiley & Sons","1988","0471611611","hardbound","1","0","","","","Brown  Chappell","","",""
"Communication and Information","Data communications fundamentals, Introduction to data communications, Telecommunication networks...","book","Telindus Institute","1980","","spiral","0","1","","","","","","",""
"Communication Equipment for Disabled People","Equipment for Disabled People presents facts and comment on a wide range of products that can help to make life easier and bring a greater degree of independence.","book","Department of Health","1987","","spiral","0","1","Technical Aids","","","","","",""
"Communication Facilities for the Disabled -Technical Aids-","This report suggests ways of analising individual communication needs and prescribing and installing the technical equipment required to compensate for disability.","report","Commission of the European Communities","1982","","paperback","1","0","","","","","","",""
"Computer-Based Technology for Individuals with Physical Disabilities: A Strategy for Alternate Acces","This document proposes a strategy with guidelines for the design of input and output aids that disabled persons often need to control computer technology.","report","International Business Machines Corporation","1988","","without cover","1","0","","","","","","",""
"Computer-Based Technology for Individuals with Physical Disabilities: A Strategy for Microcomputer M","This document describes the use of computer technology by physically disabled persons.","report","International Business Machines Corporation","1988","","without cover","1","0","","","","","","",""
"Computer Aided Production of Music Material for and by the Blind","This report includes papers of a Workshop held in Florence from 29th June to 1st July 1989.","report","Consiglio Nazionale delle Ricerche","1990","","paperback","1","0","","","","","","",""
"Computers and the Disabled What Needs To Be Done;","This report concerns computers and the disabled persons.","report","The British Computer Society Health Informatics Specialist Groups","1985","","paperback","1","0","","","","","","",""
"Computers as Theatre","In this book is presented a new framework for human-computer interaction and user-interface design.","book","Addison-Wesley Publishing Company","1991","0201510480","hardbound","1","0","","","","","","",""
"Computers for Handicapped Persons","The aim of this book is to present the state of research and development in that area (Rehabilitation Technology) and to bring together technologists and those experience in rehabilitation.","book","R. Oldenbourg","1989","3854030483","spiral","0","1","Technical Aids","","","Tjoa Min A.","Wagner  Roland","",""
"Computers for Handicapped Persons","Proceedings of the 2nd International Conference. The main topics of the conference are: Trends in the Use of Technologies, General Aspects of Computer Application...","book","R. Oldenbourg Verlag Wien","1990","3486217852","spiral","0","1","","","","","","",""
"Computers in Special Education","Developments in the use of Microprocessors for all with special educational needs","book","Sheffield Education Department","1983","","paperback","1","0","Disability","","","","","",""
"Comspec Architecture & Protocols","Part1: The Comspec Architecture Part2: The Comspec Protocols","book","Comspec Team","1995","","paperback","1","0","","","","Stav  Erlend","Poom  Patrick","Head  Peter",""
"Comspec Functional Specification (and User Handbooks)","I. Overview Comspec Systems II. End-User Notes III. Facilitator Notes IV. Integrator Notes V. Controlling other Applications and Systems through Comspec","book","","1995","","without cover","1","0","","","","","","",""
"Concerned Tecnology 1989 CT89","Electronic Aids for People with Special Needs (Education, Training & Employment).","book","Newcastle","1988","0906721415","paperback","1","0","Technical Aids","","","Richardson  Steve","","",""
"Conversation with Non-Speaking People","This book provides perspectives on adaptations made in interpersonal and vocational situations in four countries: Canada, Sweden,the United Kingdom and the United States.","book","Canadian Rehabilitation Council for the Disabled","1984","0865000174","paperback","1","0","","","","Sarney R. Jack","","",""
"COOCS '95: Conference on Organizational Computing Systems","Conference proceedings on Organizational Computing Systems, held in Milpitas, California, USA, August 13-16, 1995.","proceedings","ACM Press","1995","0897917065","paperback","1","0","","","","Ellis  Clarence","Kling  Rob","Mylopoulos  John",""
"Cooperative Interfaces to Information Systems","This book provides in-depth descriptions of studies performed in some of the leading natural language research centres on the theoretical analysis, construction of prototype systems.","book","Springer-Verlag Berlin","1986","3540165991","hardbound","1","0","","","","Jarke  M.","","",""
"COST 211 European Workshop on New Technologies for Coding of Video Signals at Very Low Bitrates","Program and Abstracts from the COST 211 European Workshop, University of Hannover, December 1-2, 1993.","proceedings","University of Hannover","1993","","paperback","1","0","","","","","","",""
"COST 219 Seminar Access to Control Systems","This Seminar was held for one day on the 16th June 1992 in Dublin Ireland. The seminar covered the following: The role of COST projects, Currently Identified Telecommunications access problems.","report","","1992","","paperback","1","0","","","","Ekberg  Jan","","",""
"COST 219 Seminar: Telecommunications - A Means to Independent Living","In this Seminar displayed and discussed the use of telecommunications to achieve  independent living, with the focus on videotelephony, ""smart houses"" and alarm services. This seminar held at Lillehammer in Norway 14-15 March 1994.","report","Commission of the European Communities","1995","8259589389","paperback","2","0","Disability","","","","","",""
"COST Collected Agreements  Volume 6","This publication includes all the agreements concluded within the framework of European cooperation in the field of scientific and technical research.","report","ECSC-EEC-EAEC","1992","9282408027","paperback","1","0","","","","","","",""
"Creating User Interfaces by Demonstration","This book describes the design and implementation of Peridot (a new experimental tool for creating interaction techniques), and the research that led to its development.","book","Academic Press","1988","0125123051","spiral","0","1","","","","","","",""
"Curriculum Guidance 10 (Ten) Teaching Science to Pupils with Special Educational Needs","This book shows how teachers can use a variety of approaches to involve pupils with special educational needs in science work.","book","NCC (National Curriculum Council)","1992","187267688X","paperback","1","0","Disability","","","","","",""
"Curriculum Guidance 9 (Nine) The National Curriculum and Pupils with Severe Learning Difficulties","This book examines good practice in schools with pupils with severe learning difficulties.","book","NCC (National Curriculum Council)","1992","1872676502","paperback","1","0","","","","","","",""
"Das ABC der Behindertenhilfe","Τμήμα εργασίας του υπουργίου της Γερμανίας για αναπήρους","book","ACON Koln","1990","","paperback","1","0","","","","","","",""
"Data Bases and Disability","This report considers those problems which are specific to different groups of disabled people, with regard to information retreival.","report","Swedish Institute for the Handicapped","1987","","paperback","1","0","","","","Bruner  Carl-Johan","","",""
"Databases and Information System for People with Disability, COST 219 Seminar","","book","FundESCO","1996","8481120510","paperback","1","0","Disability","","","","","",""
"DELTA Applying Learning Technology Volume 1","Management Summary","report","Commission of the European Communities","1986","","paperback","1","0","DELTA","","","Commission of the European Communities  ","","",""
"DELTA Applying Learning Technology Volume 2","Requirements for Information Technology in Education and Training","report","Commission of the European Communities","1986","","paperback","1","0","","","","","","",""
"DELTA Applying Learning Technology Volume 3","Case Studies, Part A Experience in Education and Training In USA, Japan, Belgium, Denmark and the Federal Republic of Germany","report","Commission of the European Communities","1986","","paperback","1","0","","","","","","",""
"DELTA Applying Learning Technology Volume 4","Case Studies, Part B Experience in Education and Training in France, Greece, Ireland, Italy, Luxemburg, Netherlands, Portugal, Spain, and the United Kingdom","report","Commission of the European Communities","1986","","paperback","1","0","","","","","","",""
"DELTA Exploration Action Workplan","This document contains the essential information supplied to all interested parties for the 1988 DELTA Call for Proposal.","report","Commission of the European Communities","1988","","paperback","1","0","","","","","","",""
"DELTA Returned Questionnaires Versions 1.1 & 1.2 Combined, ΔΕΛΤΑ","It includes DELTA returned Questionnaires, Version 1.1 &1.2 combined.","report","Commission of the European Communities","1987","","paperback","1","0","","","","","","",""
"Demography and Market Sector Analysis of People with Special Needs in Thirteen European countries: A","The intention of this report is to ensure that engineers within the RACE are made aware of the increasing numbers of PSN and to present data which highlights the enormity of scale concerning the problems of disabled groups according to age, sex, category.","report","Newcastle","Sept 1990","0906721431","paperback","1","0","","","","Wood  Thomas","","",""
"Demography and Market Sector Analysis of People with Special Needs in Thirteen European countries: A","The intention of this report is to ensure that engineers within the RACE are made aware of the increasing numbers of PSN and to present data which highlights the enormity of scale concerning the problems of disabled groups according to age, sex, category.","report","Newcastle","June 1990","","paperback","1","0","","","","","","",""
"DES Information Technology in Initial Teacher Training (Report of the IT in ITT Expert Group)","This report covers a number of aspects of the preparation of trainee teachers for the use of Information Technology (IT) in the school classroom.","report","HMSO Publications Centre","1989","011270686X","paperback","1","0","","","","","","",""
"Design for Manufacturability A Systems Approach to Concurrent Engineering and Ergonomics","This book proposes a systems approach to the design-manufacturing continuum. Also in this book, is discussed design, productivity and employment in Developing Countries.","book","Taylor & Francis","1992","0748400095","hardbound","1","0","","","","Nagamachi  Mitsuo","","",""
"Designing for Children with Special Educational Needs Ordinary Schools","This book contains design guidance on the environment and services which will assist the teaching children with special needs.","book","HMSO Publications Centre","1984","0112703135","paperback","1","0","Disability","","","","","",""
"Designing User Interfaces for Software","The theme of this book is that computer software must be designed from the user's viewpoint and tested with potential users to ensure that they can readily make it work.","book","Prentice-Hall","1988","013201971X","paperback","1","0","","","","","","",""
"Dictionary of Economics Volume A","Πολιτική-Δημόσια-Ιδιωτική Οικονομία, Κοινωνιολογία, Οργάνωση και Διοίκηση, Λογιστική, Οικονομικό και Φορολογικό Δίκαιο.","book","Πάμισος","1984","","paperback","1","0","","","","","","",""
"Dictionary of Economics Volume B","Πολιτική-Δημόσια-Ιδιωτική Οικονομία, Κοινωνιολογία, Οργάνωση και Διοίκηση, Λογιστική, Οικονομικό και Φορολογικό Δίκαιο.","book","Πάμισος","1984","","paperback","1","0","","","","","","",""
"Dictionary of Information Technology","This encyclopedic dictionary of over 6000 entries describes all the concepts, systems, technologies, data and organization in this otherwise complex and confusing area.","book","Macmillan Press","1982","0333327624","paperback","1","0","","","","Shain  Michael","","",""
"Dictionnaire  des faux ammis Francais-Anglais","Λεξικό Γραμματικής","book","Duculot","1988","2801107654","hardbound","1","0","","","","Swallow  Helen","","",""
"Digital Daily Newspapers","This report describes a method of providing blind or partially sighted people with an electronic version of newspaper text.","report","RNIB Technical R&D Department","1989","","spiral","1","0","Information Technology","","","","","",""
"Directory of HCI Consultants, Usability Now!","The aim of this guide is to provide information about organisations who offer consultancy in HCI and other closely related subjects.","book","DTI (Department of Trade and Industry)","1991","","paperback","1","1","","","","","","",""
"Directory of HCI Standards, Usability Now!","This directory is one of a set which includes directories of HCI Consultants, HCI Methods and Tools and HCI Standards.","book","DTI (Department of Trade and Industry)","1991","","paperback","1","1","","","","","","",""
"Directory of HCI Training, Usability Now!","This guide provides information about training opportunities in HCI which are available in UK.","book","DTI (Department of Trade and Industry)","1991","","paperback","1","1","","","","","","",""
"Directory of On Line Networks, Databases and Bulletin Boards on Assistive Technology","This resource product provides information on on-line networks, databases, and bulletin boards which highlight technology-related services and products.","proceedings","RESNA Press","1990","","paperback","1","0","","","","","","",""
"Disability Resource Centres - Working Together to Keep Informed","This report provides international views on issues of information technology relating to technical aids for disabled persons with perspectives from Canada, Israel, Sweden and the U.K.","report","ICTA Information Centre","1987","","paperback","1","0","","","","","","",""
"Disability Rights Handbook","A guide to rights, benefits and services for all people with disabilities and their families.","book","Benham & Co.","1992","0946336520","paperback","1","0","","","","","","",""
"Disabled Persons: Statistical Data Volume Second Edition","This publication is an updating of the previous reports and also contains new information on the socio-economic situation of disabled persons.","report","European Commission","1995","9282696529","paperback","1","0","","","","","","",""
"Dyslexia a Teaching Handbook","This book provides a guide to principles and techniques of teaching from a practical viewpoint.","book","Whurr Publishers","1990","1870332067","spiral","0","1","Disability","","","Watkins  Bill","","",""
"EC-Funded Research and Technological Development","An insight into the handling of project proposals. An introduction to contract negotiation","report","European Commission","1994","9282670767","paperback","1","0","","","","","","",""
"ECART 3 Proceedings The Future Today","This book includes papers from the European Conference on the Advancement of Rehabilitation Technology held at Lisbon Portugal, October 10-13, 1995","proceedings","The National Secretariat of Rehabilitation","1995","9729301182","paperback","1","0","","","","","","",""
"Economics","","book","Collins Publishers","","","","1","0","","","","Lowes  Bryan","Davies  Leslie","",""
"Educating Exceptional Children (Η Εκπαίδευση των Αποκλινόντων Παιδιών)","Αυτό το βιβλίο χαρακτηρίζεται ""η βίβλος"" της ειδικής αγωγής και έχει μεταφραστεί στην Ελληνική από τον κ. Κωνσταντίνο Ι. Τσιμπούκη.","book","Γ. Τσιβεριώτης Ε.Π.Ε.","1973","","spiral","0","1","Disability","","","","","",""
"Education Observed Special Needs Issues","A survey by HMI Department of Education and Science","book","Her Majesty's Inspectorate (HMSO)","1990","011270722X","paperback","1","0","Disability","","","","","",""
"Educational Resource Centres A Contribution to the Integration of Disabled Pupils","This seminar is a contribution to the integration of disabled pupils","report","ICTA Information Centre","1987","","paperback","1","0","Disability","","","Ellis  Margaret","Male  Judith","",""
"Elderly Hearing Impaired People","The aim of this report is to present a summarised description of the current situation in matters concerning the elderly hearing impaired.","report","Swedish Institute & ICTA Information Centre","1988","9186310445","paperback","1","0","","","","Miller  Ingalill","Stromgren  Jan-Peter","",""
"Elderly, Elderly Disabled and Technology","Proceedings of the Workshop on Elderly, Elderly Disabled and Technology, Brussels 17-18 January 1994","proceedings","Commission of the European Communities","1994","9514790553","paperback","1","0","Information Technology","","","","","",""
"Electronics Communication Systems","This book presents information for students of communications at a postsecondary level about the basic philosophies, processes and circuit configurations which underlie communications systems.","book","McGraw-Hill","1977","0070340528","paperback","1","0","","","","","","",""
"Equipment for Visually Disabled People: An International Guide","This book lists devices which are commercially available.","book","RNIB (Royal National Institute for the Blind)","1990","090179757X","paperback","1","0","Technical Aids","","","","","",""
"Equipment for Visually Disabled People: An International Guide","This book lists devices which are commercially available.","book","RNIB (Royal National Institute for the Blind)","1992","090179757X","paperback","2","0","","","","","","",""
"ERCIM Deductive and Interoperable Databases","The sixth Workshop of the ERCIM discussed two of the most active areas of research in the database field, Deductive and Interoperable Databases, held in Barcelona on November 1-2 1994.","report","Universitat Politecnica de Catalunya","1994","","paperback","2","0","","","","Teniente  Ernest","","",""
"ERCIM Extending Locking Techniques to Improve Concurrent Database Access","It contains the paper with title: Extending Locking Techniques to Improve Concurrent Database Access","report","Consiglio Nazionale delle Ricerche","1995","","paperback","1","0","","","","","","",""
"ERCIM Storage and Retrieval Techniques for Multimedia Data","It contains the paper with title: Storage and Retrieval Techniques for Multimedia Data","report","Consiglio Nazionale delle Ricerche","1995","","paperback","1","0","","","","","","",""
"ERCIM Updates and Constraints Handling in Advanced Database Systems","3rd ERCIM Database Research Group Workshop on Updates and constraints handling in advanced Database Systems CNUCE - Via S. Maria 36 Pisa, Italy September 28-30, 1992","report","Consiglio Nazionale delle Ricerche","1994","","paperback","2","0","","","","Missikoff  Michele","Ricciardi  Ettore","",""
"Ergonomics Course - Adapting Interfaces for Visually Disabled Users","1. Design principles 2. Implementation: Soundtrack 3. Evaluation","lecture notes","Institute of Educational Technology","1987","","spiral","0","1","Disability","","","","","",""
"Ergonomics Course - HUFIT 'TAP' EXERCISE","This document describes, in summary form, some opinions gathered from interviews with potential users of the TAP system.","lecture notes","","","","spiral","0","1","","","","","","",""
"Ergonomics Course - Human-Computer Dialogues","1. Human machine interaction 2. Historical perspectives 3. User psychology 4. Specifying the interface 5. Dialogue styles: menus, forms, commands.","lecture notes","ΕΛΚΕΠΑ","","","spiral","0","1","","","","Maguire C. M.","","",""
"Ergonomics Course - Human Factors Design Guidelines for the Elderly and People with Disabilities","This document reflects the work of a group of engineers and designers who are studying the needs of the elderly and people with disabilities and designing solutions.","lecture notes","Honeywell Technology Center","1992","","spiral","0","1","Human Factors","","","Ju  Ginny","Koch G. Christofer","Metz V. Stephen","Penner  Robin"
"Ergonomics Course - Human Sciences and Advanced Technology Product Prototyping","This document discusses prototyping of IT products and considers a range of issues, which determine the success of a prototyping exercise.","lecture notes","HUSAT Research Centre","1989","","spiral","0","1","","","","","","",""
"Ergonomics Course - Introduction to Ergonomics","Topics: Introduction to ergonomics, Information sources, Anthropometry, Work design and organisation, Quantitative methods, Systems ergonomics.","lecture notes","ΕΛΚΕΠΑ","1990","","spiral","0","1","","","","","","",""
"Ergonomics Course - Making Software More Accessible for People with Disabilities","A White Paper on the Design of Software Application Programs to Increase their Accessibility for People with Disabilities.","lecture notes","Trade R & D Center","1992","","spiral","0","1","","","","","","",""
"Ergonomics Course - Muscular Work","1.1 Physiological principles 1.2. Static muscular effort 2. Nervous control of movements 3. Improving work efficiency 4. Problems of body size 5. The design of workstations","lecture notes","","","","spiral","0","1","","","","","","",""
"Ergonomics Course - Questionnaire Design and Attitude Measurement","Chapters: Problems of Survey Design, Problems of Questionnaire Design, Question-Wording, Checklists, Rating Scales, and Inventories, Attitude Statements.","lecture notes","ΕΛΚΕΠΑ","","","spiral","0","1","","","","","","",""
"Ergonomics Course - Specialist Methods of Information-Gathering","Questionnaires, System walk-through, Formal observation, User diaries, System logging, Task analysis, Comparative testing, Company records.","lecture notes","","","","spiral","0","1","","","","","","",""
"Ergonomics Course - Task Environment and Conditions","The IT Product Design Process Overview, Definitions, & Issues.","lecture notes","ΕΛΚΕΠΑ","1990","","spiral","0","1","","","","","","",""
"Ergonomics Course - Visual Display Terminals (VDT's) Used for Office Tasks Ergonomic Requirements","1. General ergonomics criteria applicable for human-computer system interactions 2. Ergonomics requirements applicable for specific dialogue technique 3. Ergonomics criteria applicable for specific modes 4. Evaluation and conformance.","lecture notes","IBM Corporation","1990","","spiral","0","1","","","","","","",""
"Ergonomics Course - Work Design and Organisation Systems Design Processes and Traditions","Traditional Data Processing, Structured Design Methods, Participative Design Methods","lecture notes","ΕΛΚΕΠΑ","","","spiral","0","1","Work Groups","","","","","",""
"Esprit Eurocontact Database","Eurocontact database","directory","Commission of the European Communities","1989","","paperback","1","0","","","","","","",""
"Esprit Information Package 1993 Call for Proposals","Part A, Part B describe how to submit proposals","report","Commission of the European Communities","1993","","paperback","1","0","","","","","","",""
"Esprit Information Package for the Submission of Proposals to the European Strategic Programme for R","Esprit projects","report","Commission of the European Communities","1989","","paperback","3","0","","","","","","",""
"Esprit Project Synopses Advanced Information Processing","Esprit projects","guide","Commission of the European Communities","1986","","paperback","1","0","","","","","","",""
"Esprit Project Synopses Software Technology","Esprit projects","guide","Commission of the European Communities","1986","","paperback","1","0","","","","","","",""
"Esprit Synopses Basic Research Actions and Working Groups, Volume 8 of a Series of 8","Esprit projects","guide","Commission of the European Communities","1989","","paperback","1","0","","","","","","",""
"Esprit the First Phase: Progress and Results","This report, prepared for submission to Council, and presents the results of the Programme.","report","Commission of the European Communities","1987","9282569160","paperback","2","0","","","","","","",""
"Esprit The Project Synopses Computer Integrated Manufacturing, Volume 6 of a Series of 8","Esprit projects","guide","Commission of the European Communities","1989","","paperback","2","0","","","","","","",""
"Esprit The Project Synopses Information Exchange System, Volume 7 of a Series of 8","Esprit projects","guide","Commission of the European Communities","1989","","paperback","1","0","","","","","","",""
"Esprit The Project Synopses Information Processing Systems Part I: ESPRIT I Projects Volume 3 of a S","Esprit projects","guide","Commission of the European Communities","1989","","paperback","2","0","","","","","","",""
"Esprit The Project Synopses Microelectronics and Peripheral Technologies Volume 2 of a Series of 8","Esprit projects","guide","Commission of the European Communities","1989","","paperback","1","0","","","","","","",""
"Establishing Braille and Talking Book Services Using Volunteers in Russia","Report to Charity Know How Fund Grant No. 182","report","RNIB (Royal National Institute for the Blind)","1992","","paperback","1","0","","","","Ousik  V.","Stepanov  V.","Shuina  O.",""
"EUROAIM","This report concerns the BICEPS-EUROAIM Planning Exercise.","report","Commission of the European Communities","1986","","without cover","1","0","","","","","","",""
"European Coordination of Information Concerning Disabled Persons","This book is based on the papers presented at the workshop held in Milan, September 1984","proceedings","Commission of the European Communities","1985","","paperback","2","0","","","","Andrich  Renzo","","",""
"European Information Technology Observatory Update October 1993","The EITO presents the most comprehensive data about the IT market in Europe.","report","Commission of the European Communities","1993","","paperback","1","0","","","","","","",""
"European Report On Wheelchairs Testing","Testing Reports of 111 wheelchairs tested in Europe 1990-91","proceedings","Commission of the European Communities COMAC BME","1992","88859313X","paperback","3","0","","","","Andrich  Renzo","","",""
"European Social Policy Options for the Union Summary","The purpose of this document is to outline the pricipal themes of the Green Paper on social policy, and to reproduce the 65 questions contained therein.","report","Commission of the European Communities","1994","","paperback","1","0","","","","","","",""
"Evaluating Usability of Human Computer Interfaces","This book describes a practical method for assessing human-computer interface usability.","book","Ellis Horwood","1989","0745806147","hardbound","1","1","","","","Johnson  Graham","","",""
"Evaluation of Assistive Devices for Paralyzed Persons","This book is based on the papers presented at the workshop held in Milan, April 1983","proceedings","Commission of the European Communities/COMAC BME","1984","","paperback","1","0","Disability","","","","","",""
"Evaluation of Still Picture Telephone for Mentally Retarded Persons","This report shows that moderately mentally retarded persons may benefit from using a visual telecommunication system.","report","Swedish Telecom/Televerket","1993","","paperback","1","0","","","","","","",""
"Evaluation of the Effects of the EC Framework Programme for Research and Technological Development","This report analyses the effects of the EC Framework Programme of Research and Techmological Development on economic and social cohesion in the European Community.","report","Commission of the European Communities","1991","9282632695","paperback","1","0","","","","Bozzo  U.","Economou  E.","Wieviorka  M.","Segal  N."
"Examination of a New Approach for User Interaction in Virtual Environments","A new approach for user interaction in virtual environments is examined.","report","","1993","","spiral","1","0","","","","","","",""
"Experiences and Effects of Disability Legislation in the USA","The issues dealt with in this report are: - Has the USA become a more accessible country? - What kind of accessibility guidelines have been developed? - What is the status of implementation of the legislation? - Legislation in the future.","report","Swedish Institute for the Handicapped","1995","918833645X","paperback","2","0","Disability","","","","","",""
"Expert Systems Principles and Programming","This book is meant to educate students about expert systems theory and programming.","book","PWS-KENT Publishing Company","1989","0534981283","paperback","1","0","","","","Riley  Gary","","",""
"Expert Systems Programming in Turbo C","This book offers, an in-depth examination of the use of Turbo C for artificial intelligence, expert systems, and machines that ""think"".","book","Windcrest Books","1989","0830629904","paperback","1","0","","","","","","",""
"Explanation Techniques","6013 I-SEE ESPRIT Project concerning Explanation Techniques.","report","RAL/THE I-SEE Consortium","1993","","paperback","1","0","","","","Cahour  B.","Chappel  H.","Chatellier  P.","Cunningham  J."
"Factors Governing the Usability of Advanced Interfaces","This report describes the premilinary work of the Activity, which addresses the usability of the advanced interfaces.","report","ESPRIT","1986","","paperback","1","0","","","","Fox  S.","","",""
"Feasibility Study for a Document Reading Service","This report details the results of the study that has been performed to investigate the possibility of providing a reading service for blind people using facsimile machines.","report","RNIB Technical R&D Department","1989","","spiral","1","0","","","","","","",""
"Final Report on the DELTA Exploratory Action","This final technical report identifies and synthesizes the most prommising findings of the 30 projects involved in the DELTA Exploratory Action.","report","Commission of the European Communities","1991","","paperback","2","0","","","","Huyton  Alan","Vob  Gabriele","Easton  Suzanne",""
"Financial Transactions by Visually Disabled Persons","This report includes papers on the problems of banking technology faced by visually disabled persons at present and in the forseeable future.","report","RNIB (Royal National Institute for the Blind)","1990","0901797537","paperback","1","0","","","","","","",""
"First International Summer School on Advanced Broadband Communications","Lecture Notes, Aveiro Portugar July 11-16, 1993","proceedings","Centro de Estudos de Telecommunicacoes/University of Aveiro","1993","","paperback","1","0","","","","","","",""
"Formal Aspects of the Human Computer Interface: BCS-FACS Workshop","10-12 September 1996","proceedings","PRE-PRINT","1996","","paperback","1","0","","","","","","",""
"Formal Methods for Interactive Systems","This book is the product of over six years of research in the Human-Computer Interaction (HCI) Group at the University of York. This book brings together aspects of HCI with the sort of formal methods found in software engineering.","book","Academic Press","1991","0122183150","spiral","0","1","","","","Dix John Alan","","",""
"FRISKOLEN 70 An Ethnographically Informed Inquiry into the Social Context of Learning","In this report the author examines certain prevalent notions and assumptions about what education is, about the relation ship between teaching and learning.","report","","","","spiral","0","1","","","","","","",""
"Fundamentals of Interactive Computer Graphics","This book presents graphics concepts and recent advances in graphics hardware and software.","book","Addison-Wesley Publishing Company","1982","0201144689","hardbound","1","0","","","","van Dam  Andries","","",""
"Getting in on the Act Provision for Pupils with Special Educational Needs: The National Picture","This report provides advice to schools and local education authorities on the management of provision for pupils with special needs.","book","HMSO Publications Centre","1992","0118860887","paperback","1","0","Disability","","","","","",""
"Getting the Act Together Provision for Pupils with Special Educational Needs: A Management Handbook","This handbook presents in detail practice which schools and local education authorities should implement in order to provide more effectively for pupils with special needs.","book","HMSO Publications Centre","1992","0118860925","paperback","1","0","Disability","","","","","",""
"Graphics Interface '94","This volume contains the proceedings on Graphics Interface '94 held in Banff Alberta 18-20 May, 1994.","proceedings","Canadian Information Processing Society","1994","0969533837","paperback","1","0","","","","Joe  Barry","","",""
"Green Paper European Social Policy Options for the Union","This Green Paper is designed to form the basis of wide-ranging debate within all Member States about the future lines of Social policy in the European Union.","report","Commission of the European Communities","1993","9282668975","paperback","2","0","","","","","","",""
"Groot Woordenboek Nederlands-Engels","Λεξικό από Ολλανδικά σε Αγγλικά","book","Van Dale Lexicografie","1986","9066481137","hardbound","1","0","","","","Tops J. G.A.","","",""
"GSM Global System for Mobile Communications","Λεξιλόγιο όρων και ορισμών των δημοσίων κινητών δικτύων ξηράς GSM","book","OTE-MOTO","1992","","διαφάνεια","0","1","","","","","","",""
"Guide for Applicants, Plan 1985-1988","This report refers to the first Multiannual plan for the stimulation of European scientific and technical cooperation and exchange.","report","Commission of the European Communities","1985","","paperback","1","0","","","","","","",""
"Guide to English Usage","This book provides practical and reliable guidance on difficult and disputed points for all users of English.","book","Longman","1988","0582556198","hardbound","1","0","","","","Whitcut  Janet","","",""
"Handbook for Preparing Engineering Documents From Concept to Completion","This comprehensive handbook covers the entire process of preparing, producing, and distributing engineering documents using current computer software and the most recent technologies in information transfer.","book","IEEE Press","1996","0780310977","paperback","1","0","","","","","","",""
"Hardcopy Materials for Music","This report concerns problems concerning music for the blind.","report","RNIB (Royal National Institute for the Blind)","1989","0901797421","paperback","1","0","","","","","","",""
"HCI International '93","This book consists of 267 abstracts of the accepted poster presentations at the 5th Int. Conference on Human-Computer Interaction held in Orlando, Florida, USA 8-13 August 1993.","proceedings","","1993","","paperback","1","0","","","","","","",""
"HCI Tools & Methods Handbook","The aim of this guide is to direct the reader towards a selection of currently available HCI tools, methods and sources of information.","book","DTI (Department of Trade and Industry)","1991","","paperback","1","0","","","","Charles  Steve","Edmonds  Ernest","Galet  Margaret","Murray  Bryan"
"Health Telematics AIM 91-94 Advanced Informatics in Medicine","This book contains the abstracts for the Lisbon conference ""Health in the New Age of Communications"", held in Lisbon 6-10 December 1994","report","European Commission","1994","","paperback","1","0","","","","","","",""
"Helios European Seminar School Integration","Ευρωπαϊκό Σεμινάριο που αφορά την σχολική ενσωμάτωση, το οποίο διεξήχθη στην Χαλκιδική 14-15 Δεκεμβρίου 1992.","proceedings","Helios Programme","1992","","paperback","1","0","Disability","","","","","",""
"Helios European Seminar School Orientation, Guidance and School Evaluation","This report is the continuation of 1st meeting, which was organised  in Denmark on the Guidance, orientation and assessment which play a role in the school integration of disabled school children.","report","Helios Programme","1992","","paperback","1","0","","","","","","",""
