Author1,Author2,Author3,Author4,Category,CopiesNo,CoverType,ISBN,PhotocopiesNo,PublicationYear,Publisher,Theme,Title,Topic1,Topic2,Topic3
richardson  steve,,,,book,1,paperback,0906721415,0,1988,newcastle,"electronic aids for people with special needs (education, training & employment).",concerned tecnology 1989 ct89,technical aids,,
sarney r. jack,,,,book,1,paperback,0865000174,0,1984,canadian rehabilitation council for the disabled,"this book provides perspectives on adaptations made in interpersonal and vocational situations in four countries: canada, sweden,the united kingdom and the united states.",conversation with non-speaking people,,,
ellis  clarence,kling  rob,mylopoulos  john,,proceedings,1,paperback,0897917065,0,1995,acm press,"conference proceedings on organizational computing systems, held in milpitas, california, usa, august 13-16, 1995.",coocs '95: conference on organizational computing systems,,,
jarke  m.,,,,book,1,hardbound,3540165991,0,1986,springer-verlag berlin,"this book provides in-depth descriptions of studies performed in some of the leading natural language research centres on the theoretical analysis, construction of prototype systems.",cooperative interfaces to information systems,,,
,,,,proceedings,1,paperback,,0,1993,university of hannover,"program and abstracts from the cost 211 european workshop, university of hannover, december 1-2, 1993.",cost 211 european workshop on new technologies for coding of video signals at very low bitrates,,,
ekberg  jan,,,,report,1,paperback,,0,1992,,"this seminar was held for one day on the 16th june 1992 in dublin ireland. the seminar covered the following: the role of cost projects, currently identified telecommunications access problems.",cost 219 seminar access to control systems,,,
,,,,report,2,paperback,8259589389,0,1995,commission of the european communities,"in this seminar displayed and discussed the use of telecommunications to achieve  independent living, with the focus on videotelephony, ""smart houses"" and alarm services. this seminar held at lillehammer in norway 14-15 march 1994.",cost 219 seminar: telecommunications - a means to independent living,disability,,
,,,,report,1,paperback,9282408027,0,1992,ecsc-eec-eaec,this publication includes all the agreements concluded within the framework of european cooperation in the field of scientific and technical research.,cost collected agreements  volume 6,,,
,,,,book,0,spiral,0125123051,1,1988,academic press,"this book describes the design and implementation of peridot (a new experimental tool for creating interaction techniques), and the research that led to its development.",creating user interfaces by demonstration,,,
,,,,book,1,paperback,187267688x,0,1992,ncc (national curriculum council),this book shows how teachers can use a variety of approaches to involve pupils with special educational needs in science work.,curriculum guidance 10 (ten) teaching science to pupils with special educational needs,disability,,
,,,,book,1,paperback,1872676502,0,1992,ncc (national curriculum council),this book examines good practice in schools with pupils with severe learning difficulties.,curriculum guidance 9 (nine) the national curriculum and pupils with severe learning difficulties,,,
,,,,book,1,paperback,,0,1990,acon koln,τμήμα εργασίας του υπουργίου της γερμανίας για αναπήρους,das abc der behindertenhilfe,,,
bruner  carl-johan,,,,report,1,paperback,,0,1987,swedish institute for the handicapped,"this report considers those problems which are specific to different groups of disabled people, with regard to information retreival.",data bases and disability,,,
,,,,book,1,paperback,8481120510,0,1996,fundesco,,"databases and information system for people with disability, cost 219 seminar",disability,,
commission of the european communities,,,,report,1,paperback,,0,1986,commission of the european communities,management summary,delta applying learning technology volume 1,delta,,
,,,,report,1,paperback,,0,1986,commission of the european communities,requirements for information technology in education and training,delta applying learning technology volume 2,,,
,,,,report,1,paperback,,0,1986,commission of the european communities,"case studies, part a experience in education and training in usa, japan, belgium, denmark and the federal republic of germany",delta applying learning technology volume 3,,,
,,,,report,1,paperback,,0,1986,commission of the european communities,"case studies, part b experience in education and training in france, greece, ireland, italy, luxemburg, netherlands, portugal, spain, and the united kingdom",delta applying learning technology volume 4,,,
,,,,report,1,paperback,,0,1988,commission of the european communities,this document contains the essential information supplied to all interested parties for the 1988 delta call for proposal.,delta exploration action workplan,,,
,,,,report,1,paperback,,0,1987,commission of the european communities,"it includes delta returned questionnaires, version 1.1 &1.2 combined.","delta returned questionnaires versions 1.1 & 1.2 combined, δελτα",,,
wood  thomas,,,,report,1,paperback,0906721431,0,sept 1990,newcastle,"the intention of this report is to ensure that engineers within the race are made aware of the increasing numbers of psn and to present data which highlights the enormity of scale concerning the problems of disabled groups according to age, sex, category.",demography and market sector analysis of people with special needs in thirteen european countries: a,,,
,,,,report,1,paperback,,0,june 1990,newcastle,"the intention of this report is to ensure that engineers within the race are made aware of the increasing numbers of psn and to present data which highlights the enormity of scale concerning the problems of disabled groups according to age, sex, category.",demography and market sector analysis of people with special needs in thirteen european countries: a,,,
,,,,report,1,paperback,011270686x,0,1989,hmso publications centre,this report covers a number of aspects of the preparation of trainee teachers for the use of information technology (it) in the school classroom.,des information technology in initial teacher training (report of the it in itt expert group),,,
nagamachi  mitsuo,,,,book,1,hardbound,0748400095,0,1992,taylor & francis,"this book proposes a systems approach to the design-manufacturing continuum. also in this book, is discussed design, productivity and employment in developing countries.",design for manufacturability a systems approach to concurrent engineering and ergonomics,,,
,,,,book,1,paperback,0112703135,0,1984,hmso publications centre,this book contains design guidance on the environment and services which will assist the teaching children with special needs.,designing for children with special educational needs ordinary schools,disability,,
,,,,book,1,paperback,013201971x,0,1988,prentice-hall,the theme of this book is that computer software must be designed from the user's viewpoint and tested with potential users to ensure that they can readily make it work.,designing user interfaces for software,,,
,,,,book,1,paperback,,0,1984,πάμισος,"πολιτική-δημόσια-ιδιωτική οικονομία, κοινωνιολογία, οργάνωση και διοίκηση, λογιστική, οικονομικό και φορολογικό δίκαιο.",dictionary of economics volume a,,,
,,,,book,1,paperback,,0,1984,πάμισος,"πολιτική-δημόσια-ιδιωτική οικονομία, κοινωνιολογία, οργάνωση και διοίκηση, λογιστική, οικονομικό και φορολογικό δίκαιο.",dictionary of economics volume b,,,
shain  michael,,,,book,1,paperback,0333327624,0,1982,macmillan press,"this encyclopedic dictionary of over 6000 entries describes all the concepts, systems, technologies, data and organization in this otherwise complex and confusing area.",dictionary of information technology,,,
swallow  helen,,,,book,1,hardbound,2801107654,0,1988,duculot,λεξικό γραμματικής,dictionnaire  des faux ammis francais-anglais,,,
,,,,report,1,spiral,,0,1989,rnib technical r&d department,this report describes a method of providing blind or partially sighted people with an electronic version of newspaper text.,digital daily newspapers,information technology,,
,,,,book,1,paperback,,1,1991,dti (department of trade and industry),the aim of this guide is to provide information about organisations who offer consultancy in hci and other closely related subjects.,"directory of hci consultants, usability now!",,,
,,,,book,1,paperback,,1,1991,dti (department of trade and industry),"this directory is one of a set which includes directories of hci consultants, hci methods and tools and hci standards.","directory of hci standards, usability now!",,,
,,,,book,1,paperback,,1,1991,dti (department of trade and industry),this guide provides information about training opportunities in hci which are available in uk.,"directory of hci training, usability now!",,,
,,,,proceedings,1,paperback,,0,1990,resna press,"this resource product provides information on on-line networks, databases, and bulletin boards which highlight technology-related services and products.","directory of on line networks, databases and bulletin boards on assistive technology",,,
,,,,report,1,paperback,,0,1987,icta information centre,"this report provides international views on issues of information technology relating to technical aids for disabled persons with perspectives from canada, israel, sweden and the u.k.",disability resource centres - working together to keep informed,,,
,,,,book,1,paperback,0946336520,0,1992,benham & co.,"a guide to rights, benefits and services for all people with disabilities and their families.",disability rights handbook,,,
,,,,report,1,paperback,9282696529,0,1995,european commission,this publication is an updating of the previous reports and also contains new information on the socio-economic situation of disabled persons.,disabled persons: statistical data volume second edition,,,
watkins  bill,,,,book,0,spiral,1870332067,1,1990,whurr publishers,this book provides a guide to principles and techniques of teaching from a practical viewpoint.,dyslexia a teaching handbook,disability,,
,,,,report,1,paperback,9282670767,0,1994,european commission,an insight into the handling of project proposals. an introduction to contract negotiation,ec-funded research and technological development,,,
,,,,proceedings,1,paperback,9729301182,0,1995,the national secretariat of rehabilitation,"this book includes papers from the european conference on the advancement of rehabilitation technology held at lisbon portugal, october 10-13, 1995",ecart 3 proceedings the future today,,,
lowes  bryan,davies  leslie,,,book,1,,,0,,collins publishers,,economics,,,
,,,,book,0,spiral,,1,1973,γ. τσιβεριώτης ε.π.ε.,"αυτό το βιβλίο χαρακτηρίζεται ""η βίβλος"" της ειδικής αγωγής και έχει μεταφραστεί στην ελληνική από τον κ. κωνσταντίνο ι. τσιμπούκη.",educating exceptional children (η εκπαίδευση των αποκλινόντων παιδιών),disability,,
,,,,book,1,paperback,011270722x,0,1990,her majesty's inspectorate (hmso),a survey by hmi department of education and science,education observed special needs issues,disability,,
ellis  margaret,male  judith,,,report,1,paperback,,0,1987,icta information centre,this seminar is a contribution to the integration of disabled pupils,educational resource centres a contribution to the integration of disabled pupils,disability,,
miller  ingalill,stromgren  jan-peter,,,report,1,paperback,9186310445,0,1988,swedish institute & icta information centre,the aim of this report is to present a summarised description of the current situation in matters concerning the elderly hearing impaired.,elderly hearing impaired people,,,
,,,,proceedings,1,paperback,9514790553,0,1994,commission of the european communities,"proceedings of the workshop on elderly, elderly disabled and technology, brussels 17-18 january 1994","elderly, elderly disabled and technology",information technology,,
,,,,book,1,paperback,0070340528,0,1977,mcgraw-hill,"this book presents information for students of communications at a postsecondary level about the basic philosophies, processes and circuit configurations which underlie communications systems.",electronics communication systems,,,
,,,,book,1,paperback,090179757x,0,1990,rnib (royal national institute for the blind),this book lists devices which are commercially available.,equipment for visually disabled people: an international guide,technical aids,,
,,,,book,2,paperback,090179757x,0,1992,rnib (royal national institute for the blind),this book lists devices which are commercially available.,equipment for visually disabled people: an international guide,,,
teniente  ernest,,,,report,2,paperback,,0,1994,universitat politecnica de catalunya,"the sixth workshop of the ercim discussed two of the most active areas of research in the database field, deductive and interoperable databases, held in barcelona on november 1-2 1994.",ercim deductive and interoperable databases,,,
,,,,report,1,paperback,,0,1995,consiglio nazionale delle ricerche,it contains the paper with title: extending locking techniques to improve concurrent database access,ercim extending locking techniques to improve concurrent database access,,,
,,,,report,1,paperback,,0,1995,consiglio nazionale delle ricerche,it contains the paper with title: storage and retrieval techniques for multimedia data,ercim storage and retrieval techniques for multimedia data,,,
missikoff  michele,ricciardi  ettore,,,report,2,paperback,,0,1994,consiglio nazionale delle ricerche,"3rd ercim database research group workshop on updates and constraints handling in advanced database systems cnuce - via s. maria 36 pisa, italy september 28-30, 1992",ercim updates and constraints handling in advanced database systems,,,
,,,,lecture notes,0,spiral,,1,1987,institute of educational technology,1. design principles 2. implementation: soundtrack 3. evaluation,ergonomics course - adapting interfaces for visually disabled users,disability,,
,,,,lecture notes,0,spiral,,1,,,"this document describes, in summary form, some opinions gathered from interviews with potential users of the tap system.",ergonomics course - hufit 'tap' exercise,,,
maguire c. m.,,,,lecture notes,0,spiral,,1,,ελκεπα,"1. human machine interaction 2. historical perspectives 3. user psychology 4. specifying the interface 5. dialogue styles: menus, forms, commands.",ergonomics course - human-computer dialogues,,,
ju  ginny,koch g. christofer,metz v. stephen,penner  robin,lecture notes,0,spiral,,1,1992,honeywell technology center,this document reflects the work of a group of engineers and designers who are studying the needs of the elderly and people with disabilities and designing solutions.,ergonomics course - human factors design guidelines for the elderly and people with disabilities,human factors,,
,,,,lecture notes,0,spiral,,1,1989,husat research centre,"this document discusses prototyping of it products and considers a range of issues, which determine the success of a prototyping exercise.",ergonomics course - human sciences and advanced technology product prototyping,,,
,,,,lecture notes,0,spiral,,1,1990,ελκεπα,"topics: introduction to ergonomics, information sources, anthropometry, work design and organisation, quantitative methods, systems ergonomics.",ergonomics course - introduction to ergonomics,,,
,,,,lecture notes,0,spiral,,1,1992,trade r & d center,a white paper on the design of software application programs to increase their accessibility for people with disabilities.,ergonomics course - making software more accessible for people with disabilities,,,
,,,,lecture notes,0,spiral,,1,,,1.1 physiological principles 1.2. static muscular effort 2. nervous control of movements 3. improving work efficiency 4. problems of body size 5. the design of workstations,ergonomics course - muscular work,,,
,,,,lecture notes,0,spiral,,1,,ελκεπα,"chapters: problems of survey design, problems of questionnaire design, question-wording, checklists, rating scales, and inventories, attitude statements.",ergonomics course - questionnaire design and attitude measurement,,,
,,,,lecture notes,0,spiral,,1,,,"questionnaires, system walk-through, formal observation, user diaries, system logging, task analysis, comparative testing, company records.",ergonomics course - specialist methods of information-gathering,,,
,,,,lecture notes,0,spiral,,1,1990,ελκεπα,"the it product design process overview, definitions, & issues.",ergonomics course - task environment and conditions,,,
,,,,lecture notes,0,spiral,,1,1990,ibm corporation,1. general ergonomics criteria applicable for human-computer system interactions 2. ergonomics requirements applicable for specific dialogue technique 3. ergonomics criteria applicable for specific modes 4. evaluation and conformance.,ergonomics course - visual display terminals (vdt's) used for office tasks ergonomic requirements,,,
,,,,lecture notes,0,spiral,,1,,ελκεπα,"traditional data processing, structured design methods, participative design methods",ergonomics course - work design and organisation systems design processes and traditions,work groups,,
,,,,directory,1,paperback,,0,1989,commission of the european communities,eurocontact database,esprit eurocontact database,,,
,,,,report,1,paperback,,0,1993,commission of the european communities,"part a, part b describe how to submit proposals",esprit information package 1993 call for proposals,,,
,,,,report,3,paperback,,0,1989,commission of the european communities,esprit projects,esprit information package for the submission of proposals to the european strategic programme for r,,,
,,,,guide,1,paperback,,0,1986,commission of the european communities,esprit projects,esprit project synopses advanced information processing,,,
,,,,guide,1,paperback,,0,1986,commission of the european communities,esprit projects,esprit project synopses software technology,,,
,,,,guide,1,paperback,,0,1989,commission of the european communities,esprit projects,"esprit synopses basic research actions and working groups, volume 8 of a series of 8",,,
,,,,report,2,paperback,9282569160,0,1987,commission of the european communities,"this report, prepared for submission to council, and presents the results of the programme.",esprit the first phase: progress and results,,,
,,,,guide,2,paperback,,0,1989,commission of the european communities,esprit projects,"esprit the project synopses computer integrated manufacturing, volume 6 of a series of 8",,,
,,,,guide,1,paperback,,0,1989,commission of the european communities,esprit projects,"esprit the project synopses information exchange system, volume 7 of a series of 8",,,
,,,,guide,2,paperback,,0,1989,commission of the european communities,esprit projects,esprit the project synopses information processing systems part i: esprit i projects volume 3 of a s,,,
,,,,guide,1,paperback,,0,1989,commission of the european communities,esprit projects,esprit the project synopses microelectronics and peripheral technologies volume 2 of a series of 8,,,
ousik  v.,stepanov  v.,shuina  o.,,report,1,paperback,,0,1992,rnib (royal national institute for the blind),report to charity know how fund grant no. 182,establishing braille and talking book services using volunteers in russia,,,
,,,,report,1,without cover,,0,1986,commission of the european communities,this report concerns the biceps-euroaim planning exercise.,euroaim,,,
andrich  renzo,,,,proceedings,2,paperback,,0,1985,commission of the european communities,"this book is based on the papers presented at the workshop held in milan, september 1984",european coordination of information concerning disabled persons,,,
,,,,report,1,paperback,,0,1993,commission of the european communities,the eito presents the most comprehensive data about the it market in europe.,european information technology observatory update october 1993,,,
andrich  renzo,,,,proceedings,3,paperback,88859313x,0,1992,commission of the european communities comac bme,testing reports of 111 wheelchairs tested in europe 1990-91,european report on wheelchairs testing,,,
,,,,report,1,paperback,,0,1994,commission of the european communities,"the purpose of this document is to outline the pricipal themes of the green paper on social policy, and to reproduce the 65 questions contained therein.",european social policy options for the union summary,,,
johnson  graham,,,,book,1,hardbound,0745806147,1,1989,ellis horwood,this book describes a practical method for assessing human-computer interface usability.,evaluating usability of human computer interfaces,,,
,,,,proceedings,1,paperback,,0,1984,commission of the european communities/comac bme,"this book is based on the papers presented at the workshop held in milan, april 1983",evaluation of assistive devices for paralyzed persons,disability,,
,,,,report,1,paperback,,0,1993,swedish telecom/televerket,this report shows that moderately mentally retarded persons may benefit from using a visual telecommunication system.,evaluation of still picture telephone for mentally retarded persons,,,
bozzo  u.,economou  e.,wieviorka  m.,segal  n.,report,1,paperback,9282632695,0,1991,commission of the european communities,this report analyses the effects of the ec framework programme of research and techmological development on economic and social cohesion in the european community.,evaluation of the effects of the ec framework programme for research and technological development,,,
,,,,report,1,spiral,,0,1993,,a new approach for user interaction in virtual environments is examined.,examination of a new approach for user interaction in virtual environments,,,
,,,,report,2,paperback,918833645x,0,1995,swedish institute for the handicapped,the issues dealt with in this report are: - has the usa become a more accessible country? - what kind of accessibility guidelines have been developed? - what is the status of implementation of the legislation? - legislation in the future.,experiences and effects of disability legislation in the usa,disability,,
riley  gary,,,,book,1,paperback,0534981283,0,1989,pws-kent publishing company,this book is meant to educate students about expert systems theory and programming.,expert systems principles and programming,,,
,,,,book,1,paperback,0830629904,0,1989,windcrest books,"this book offers, an in-depth examination of the use of turbo c for artificial intelligence, expert systems, and machines that ""think"".",expert systems programming in turbo c,,,
cahour  b.,chappel  h.,chatellier  p.,cunningham  j.,report,1,paperback,,0,1993,ral/the i-see consortium,6013 i-see esprit project concerning explanation techniques.,explanation techniques,,,
fox  s.,,,,report,1,paperback,,0,1986,esprit,"this report describes the premilinary work of the activity, which addresses the usability of the advanced interfaces.",factors governing the usability of advanced interfaces,,,
,,,,report,1,spiral,,0,1989,rnib technical r&d department,this report details the results of the study that has been performed to investigate the possibility of providing a reading service for blind people using facsimile machines.,feasibility study for a document reading service,,,
huyton  alan,vob  gabriele,easton  suzanne,,report,2,paperback,,0,1991,commission of the european communities,this final technical report identifies and synthesizes the most prommising findings of the 30 projects involved in the delta exploratory action.,final report on the delta exploratory action,,,
,,,,report,1,paperback,0901797537,0,1990,rnib (royal national institute for the blind),this report includes papers on the problems of banking technology faced by visually disabled persons at present and in the forseeable future.,financial transactions by visually disabled persons,,,
,,,,proceedings,1,paperback,,0,1993,centro de estudos de telecommunicacoes/university of aveiro,"lecture notes, aveiro portugar july 11-16, 1993",first international summer school on advanced broadband communications,,,
,,,,proceedings,1,paperback,,0,1996,pre-print,10-12 september 1996,formal aspects of the human computer interface: bcs-facs workshop,,,
dix john alan,,,,book,0,spiral,0122183150,1,1991,academic press,this book is the product of over six years of research in the human-computer interaction (hci) group at the university of york. this book brings together aspects of hci with the sort of formal methods found in software engineering.,formal methods for interactive systems,,,
,,,,report,0,spiral,,1,,,"in this report the author examines certain prevalent notions and assumptions about what education is, about the relation ship between teaching and learning.",friskolen 70 an ethnographically informed inquiry into the social context of learning,,,
van dam  andries,,,,book,1,hardbound,0201144689,0,1982,addison-wesley publishing company,this book presents graphics concepts and recent advances in graphics hardware and software.,fundamentals of interactive computer graphics,,,
,,,,book,1,paperback,0118860887,0,1992,hmso publications centre,this report provides advice to schools and local education authorities on the management of provision for pupils with special needs.,getting in on the act provision for pupils with special educational needs: the national picture,disability,,
,,,,book,1,paperback,0118860925,0,1992,hmso publications centre,this handbook presents in detail practice which schools and local education authorities should implement in order to provide more effectively for pupils with special needs.,getting the act together provision for pupils with special educational needs: a management handbook,disability,,
joe  barry,,,,proceedings,1,paperback,0969533837,0,1994,canadian information processing society,"this volume contains the proceedings on graphics interface '94 held in banff alberta 18-20 may, 1994.",graphics interface '94,,,
,,,,report,2,paperback,9282668975,0,1993,commission of the european communities,this green paper is designed to form the basis of wide-ranging debate within all member states about the future lines of social policy in the european union.,green paper european social policy options for the union,,,
tops j. g.a.,,,,book,1,hardbound,9066481137,0,1986,van dale lexicografie,λεξικό από ολλανδικά σε αγγλικά,groot woordenboek nederlands-engels,,,
,,,,book,0,διαφάνεια,,1,1992,ote-moto,λεξιλόγιο όρων και ορισμών των δημοσίων κινητών δικτύων ξηράς gsm,gsm global system for mobile communications,,,
,,,,report,1,paperback,,0,1985,commission of the european communities,this report refers to the first multiannual plan for the stimulation of european scientific and technical cooperation and exchange.,"guide for applicants, plan 1985-1988",,,
whitcut  janet,,,,book,1,hardbound,0582556198,0,1988,longman,this book provides practical and reliable guidance on difficult and disputed points for all users of english.,guide to english usage,,,
,,,,book,1,paperback,0780310977,0,1996,ieee press,"this comprehensive handbook covers the entire process of preparing, producing, and distributing engineering documents using current computer software and the most recent technologies in information transfer.",handbook for preparing engineering documents from concept to completion,,,
,,,,report,1,paperback,0901797421,0,1989,rnib (royal national institute for the blind),this report concerns problems concerning music for the blind.,hardcopy materials for music,,,
,,,,proceedings,1,paperback,,0,1993,,"this book consists of 267 abstracts of the accepted poster presentations at the 5th int. conference on human-computer interaction held in orlando, florida, usa 8-13 august 1993.",hci international '93,,,
charles  steve,edmonds  ernest,galet  margaret,murray  bryan,book,1,paperback,,0,1991,dti (department of trade and industry),"the aim of this guide is to direct the reader towards a selection of currently available hci tools, methods and sources of information.",hci tools & methods handbook,,,
,,,,report,1,paperback,,0,1994,european commission,"this book contains the abstracts for the lisbon conference ""health in the new age of communications"", held in lisbon 6-10 december 1994",health telematics aim 91-94 advanced informatics in medicine,,,
,,,,proceedings,1,paperback,,0,1992,helios programme,"ευρωπαϊκό σεμινάριο που αφορά την σχολική ενσωμάτωση, το οποίο διεξήχθη στην χαλκιδική 14-15 δεκεμβρίου 1992.",helios european seminar school integration,disability,,
,,,,report,1,paperback,,0,1992,helios programme,"this report is the continuation of 1st meeting, which was organised  in denmark on the guidance, orientation and assessment which play a role in the school integration of disabled school children.","helios european seminar school orientation, guidance and school evaluation",,,
,,,,guide,1,paperback,9282776514,0,1996,european commission,παροχή ίσων ευκαιριών στα άτομα με ειδικές ανάγκες,"helios ii, ευρωπαϊκός οδηγός ορθής πρακτικής",,,
,,,,proceedings,1,paperback,,0,1991,helios programme,this report contains papers on handicap and education,helios third conference of the european community on disability and education,disability,,
korman  henry,,,,book,1,paperback,0805368299,0,1993,benjamin/cummings publishing company,"this book describes how to write printed and online computer documentation that is simple, clear, interesting, and user-friendly.",how to communicate technical information,,,
lam  jenny,alagar s. v.,alexander  ian,,book,0,διαφάνεια,0201876930,1,1996,addison-wesley publishing company,"this book provides a unique insider's perspective on the development of html and the web, together with fascinating insights into the community that created them.",html 3 electronic publishing on the world wide web,,,
,,,,book,1,paperback,0333428994,0,1988,macmillan press,"this book describes the principles of and practices in human-computer interfacing, based on applied psychology, while integrating the approach with methods of software engineering.",human-computer interface design,,,
,,,,book,0,διαφάνεια,,1,1995,university of central florida,tutorial notes on hci international '95,human-virtual environment interaction hci '95,,,
cott p. harold,kinkade g. robert,,,book,1,paperback,,0,1972,national technical information service,this book was written primarily for those who must make human engineering decisions about equipment design and use.,human engineering guide to equipment design,ergonomics,,
,,,,guide,1,paperback,,0,1994,human factors and ergonomics society,"this guide has been edited to assist authors in preparating manuscripts in the style required for publication in the journal ""human factors"".",human factors author's guide,general purpose,,
clarke m. anne,,,,report,2,paperback,,0,,husat research centre,this report gives guidelines for designers of multimedia systems and services and includes information on display characteristics and input devices.,human factors guidelines for multimedia,,,
,,,,report,2,paperback,,0,,husat research centre,this report provides human factors guidelines for designers of videotelephony systems and services.,human factors guidelines for videotelephony,,,
,,,,book,1,hardbound,0893914487,0,1988,ablex publishing corporation,this book is intended as a professional reference resource for both designers of real-world management information systems (mis) and academicians who are interested in teaching and researching in the area of mis.,human factors in management information systems,,,
horner  jennifer,,,,book,0,spiral,,1,,ibm corporation,this volume contains articles about test sites experiences with vocalization,ibm personal system/2 speechviewer four case studies,,,
,,,,proceedings,0,paperback,0932101178,1,1988,resna press,"the theme of this conference is not just on technology but it is also a conference on ways to deliver technological solutions my means of public policy, the health and social services delivery system and manufacturing industries.",icaart 88,,,
,,,,report,1,paperback,8789407598,0,1996,etsi (european telecommunications standards institute),this workshop was organized by danish centre for technical aids and was held in amsterdam in april 1996.,ict standardization and disability in europe european policy workshop,,,
goetz a. j.,,,,book,1,hardbound,1559370009,0,1988,ieee press,"the largest current list of acronymus used in electrical and electronic science, business and industry, government, and the military.",ieee standard dictionary of electrical and electronics terms (fourth edition),,,
saba  a.,alberti  c.,,,proceedings,1,paperback,,0,1992,consiglio nazionale delle ricerche,progetti di ricerca e nuove tecnologie,"informatica, didattica e disabilita, vol. i",,,
,,,,proceedings,1,paperback,,0,1992,consiglio nazionale delle ricerche,esperienze didattiche e di integrazione del disabile,"informatica, didattica e disabilita, vol. ii",,,
,,,,proceedings,1,paperback,,0,1992,consiglio nazionale delle ricerche,informatica e riabilitazione,"informatica, didattica e disabilita, vol. iii",,,
gagliari  isabella,rampini  anna,,,report,1,paperback,,0,1988,commission of the european communities,"this study represents a first analysis of one of the latest technologies of potential interest to the information services market, namely electronic image banks.",information management docmix state-of-the-art and market requirements in europe electronic image ba,,,
,,,,report,1,paperback,,0,1989,ecsc-eec-eaec,this report gives an account of research under cost project 209 on speech synthesis.,"information technologies and sciences european research project cost 209, man-machine communication",,,
,,,,report,1,without cover,,0,1994,commission of the european communities,"this report summarises the results of the programme of infosec projects carried out against the action lines given in this council decision, taking into account the work of other activities within european level.",infosec'94 the security of information systems,,,
trefz  bernhard,ziegler e. j.,,,report,1,διαφάνεια,,1,1988,esprit,this paper describes the work in hufit b3.4 and b5.2 concerning multimedia and user interface management systems.,integrated interfaces and their architecture,,,
,,,,proceedings,1,paperback,0897918444,0,1996,acm press,"this volume contains all the papers, panels, demonstrations, and posters presented at the 1st sigcse/sigcue conference on integrating technology into computer science education, held in barcelona spain june 2-6, 1996.",integrating technology into computer science education,,,
,,,,report,1,paperback,,0,1990,commission of the european communities,this report includes papers on intelligent cities,intelligent cities (a report from the race workshop),,,
,,,,book,0,spiral,1853961361,1,1992,chapman & hall,"this book with the help of pictures and conversations, draws together the research that needs to be considered when designing intelligent help facilities.",intelligent help communicating with knowledge - based systems,,,
,,,,presentation,1,without cover,,0,,,presentation from conference on the smart house system at maastricht 11-13 december 1989.,intelligent houses for the blind,artificial intelligence,,
,,,,report,2,paperback,,0,1989,institute for rehabilitation research,"report of the maastrich workshop  december 11-13, 1989",intelligent houses for the blind,,,
,,,,book,1,paperback,0262631504,0,1993,aaai press/mit press,this book focuses specifically on those intelligent interfaces that exploit multiple media and models to facilitate human-computer communication.,intelligent multimedia interfaces,,,
richardson t.e. john,,,,book,1,hardbound,0198537360,0,1989,oxford science publications,"this book is concerned with the development, application, and implications of intelligent systems.",intelligent systems in a humman context,,,
,,,,book,1,hardbound,0893915505,0,1990,ablex publishing corporation,"this book is the proceedings of an august 1988 forum ""increasing management productivity with intelligent systems"" held in snowmass/aspen, colorado.",intelligent systems in business: integrating the technology,,,
,,,,book,1,paperback,939986507,0,1986,word rehabilitation fund,the goal of this book is to share with the u.s. rehabilitation community information and ideas from other countries which enhance the rehabilitation knowledge base in the u.s.,interactive robotic aids - one option for independent living: an international perspective,,,
edwards d.n. alistair,mynatt  elizabeth,,,proceedings,1,spiral,,0,1993,acm press,"tutorial notes interchi '93, amsterdam, april 25, 1993.","interchi '93 bridges between worlds, enabling technology for users with special needs",,,
,,,,proceedings,1,spiral,,0,1993,acm press,this tutorial will provide a high-level introduction and overview of human-computer interaction (hci) for newcomers to the field.,"interchi '93 bridges between worlds, introduction and overview of human-computer interaction",,,
,,,,report,1,paperback,,0,1987,swedish institute for the handicapped,"this report contains a short description on the projects, within the field of information technology and disability.",inventory of on-going research and development projects within the field of information technology a,,,
braun  claudia,hoepelman  jaap,mayer  renate,,report,1,διαφάνεια,,1,1988,esprit,general aspects of the user interface design,investigation of the user interface component for the termbank,,,
,,,,book,1,hardbound,013151119x,0,1996,prentice-hall,1. computer software-human factors-standards 2. electronic digital computers-standards,iso and ansi ergonomic standards for computer products a guide to implementation and compliance,,,
forschungsgruppe inform,,,,report,1,paperback,,0,1988,forschungsgruppe inform,αναφορά ερευνητικής ομάδας σχετικά με τα projects που ασχολείται.,kurzinformationen uber die forschungsgruppe inform,,,
lamport  leslie,bibby  duane,,,book,0,spiral,020115790x,1,1986,addison-wesley publishing company,1. latex (computer system) 2. computerized typesetting,latex a document preparation system,,,
,,,,guide,1,spiral,,0,,ucla,"this resource guide has been developed to provide, in a compact format, comprehensive information about materials needed for computer use with young children",lausd/ucla microcomputer project resource guide for use with young children with disabilities,,,
johnson  roxanna,,,,book,0,spiral,,1,1987,mayer-johnson company,this book is a book of comprehensive exercises for persons of all ages needing remediation in auditory processing skills.,listen to this! (part i),,,
,,,,book,0,spiral,,1,1987,mayer-johnson company,this chapter gives clients practice in improving memory of auditory information through a series of progressively more difficult exercises.,listen to this! (part ii),,,
,,,,report,1,paperback,,0,1988,commission of the european communities,this report contains the list of all race contacts by country code.,"listing of the organisations participating or interested in participating in race projects, otr 201",,,
,,,,report,1,διαφάνεια,,0,1989,universitat dortmund,case studies on special disabilities of lv-people in telecom-situations,low vision people in the environment of telecommunication,telecommunications,,
,,,,book,0,paperback,0135419042,1,1982,prentice-hall,"the author in his machine perception, explores the growing field of visual perception.",machine perception,,,
